Product ID,Product Name,Product URL,Product Image Url,price,Currency,Spec UPC,Spec MPN,Spec BRAND,Spec ISBN,SKU,Product Tags,blacklisted,Product Group
31,ICON VANILLA BLACK,http://www.gadecosmetics.co.il/fragrances/women/icon-vanilla-black/icon-vanilla-black-eau-de-parfum-spray,https://www.gadecosmetics.co.il/sites/gade-he/files/_ICON%20VANILLA%20BLACK%20-NEW%20LOGO%20site_0.jpg,129.9,ILS,,,,,172100000,,FALSE,71
32,ICON MAN DEODORANT SPRAY,http://www.gadecosmetics.co.il/fragrances/men/icon-man/icon-man-deodorant-spray,https://www.gadecosmetics.co.il/sites/gade-he/files/0026_1.jpg,39.9,ILS,,,,,183900000,,FALSE,72
33,ICON MAN EAU DE TOILETTE,http://www.gadecosmetics.co.il/fragrances/men/icon-man/icon-man-eau-de-toilette-spray,https://www.gadecosmetics.co.il/sites/gade-he/files/ICON%20MAN_0.jpg,119.9,ILS,,,,,183600000,,FALSE,73
34,ICON EXPLORER DEODORANT SPRAY,http://www.gadecosmetics.co.il/fragrances/men/icon-explorer/icon-explorer-deodorant-spray,https://www.gadecosmetics.co.il/sites/gade-he/files/0028_0.jpg,59.9,ILS,,,,,175100000,,FALSE,74
35,ICON EXPLORER EAU DE TOILETTE,http://www.gadecosmetics.co.il/fragrances/men/icon-explorer/icon-explorer-eau-de-toilette-spray,https://www.gadecosmetics.co.il/sites/gade-he/files/HR_ICON%20EXPLOPER_001.jpg,129.9,ILS,,,,,175200000,,FALSE,75
37,VERTIGO MILANO AFTER SHAVE BALM,http://www.gadecosmetics.co.il/fragrances/men/vertigo-milano/vertigo-milano-after-shave-balm,https://www.gadecosmetics.co.il/sites/gade-he/files/0030_0.jpg,99.9,ILS,,,,,141400000,,FALSE,77
38,VERTIGO MILANO EAU DE TOILETTE,http://www.gadecosmetics.co.il/fragrances/men/vertigo-milano/vertigo-milano-eau-de-toilette-spray,https://www.gadecosmetics.co.il/sites/gade-he/files/0025_0.jpg,129.9,ILS,,,,,140400000,,FALSE,78
828,LASH FEVER MULTI-DIMENSIONAL MASCARA - Blue,http://www.gadecosmetics.co.il/makeup/eyes/mascaras/lash-fever-multi-dimensional-mascara,https://www.gadecosmetics.co.il/sites/gade-he/files/018_0.jpg,69.9,ILS,,,,,106900002,,FALSE,79
829,LASH FEVER MULTI-DIMENSIONAL MASCARA - Brown,http://www.gadecosmetics.co.il/makeup/eyes/mascaras/lash-fever-multi-dimensional-mascara,https://www.gadecosmetics.co.il/sites/gade-he/files/LASH-FEVER-MASCARA-BROWN.jpg,69.9,ILS,,,,,106900004,,FALSE,79
39,LASH FEVER MULTI-DIMENSIONAL MASCARA - black,http://www.gadecosmetics.co.il/makeup/eyes/mascaras/lash-fever-multi-dimensional-mascara,https://www.gadecosmetics.co.il/sites/gade-he/files/DESIGNER%20LASHES%20L_0.jpg,69.9,ILS,,,,,106900001,,FALSE,79
679,IDYLLIC MONO SOFT SATIN EYESHADOW - NATURAL 228,http://www.gadecosmetics.co.il/makeup/eyes/eye-shadows/idyllic-soft-satin-eyeshadow,https://www.gadecosmetics.co.il/sites/gade-he/files/228%20idyllic_site%D7%95%D7%A9%D7%95%D7%91_0.jpg,39.9,ILS,,,,,101400228,,FALSE,80
134,IDYLLIC MONO SOFT SATIN EYESHADOW - Satin Beige 220,http://www.gadecosmetics.co.il/makeup/eyes/eye-shadows/idyllic-soft-satin-eyeshadow,https://www.gadecosmetics.co.il/sites/gade-he/files/eyeshadow-220.png,39.9,ILS,,,,,101400220,,FALSE,80
135,IDYLLIC MONO SOFT SATIN EYESHADOW - Gold Cream 221,http://www.gadecosmetics.co.il/makeup/eyes/eye-shadows/idyllic-soft-satin-eyeshadow,https://www.gadecosmetics.co.il/sites/gade-he/files/eyeshadow-221.png,39.9,ILS,,,,,101400221,,FALSE,80
140,IDYLLIC MONO SOFT SATIN EYESHADOW - White Whisper 227,http://www.gadecosmetics.co.il/makeup/eyes/eye-shadows/idyllic-soft-satin-eyeshadow,https://www.gadecosmetics.co.il/sites/gade-he/files/eyeshadow-227.png,39.9,ILS,,,,,101400227,,FALSE,80
43,IDYLLIC MONO SOFT SATIN EYESHADOW - Diamonds 126,http://www.gadecosmetics.co.il/makeup/eyes/eye-shadows/idyllic-soft-satin-eyeshadow,https://www.gadecosmetics.co.il/sites/gade-he/files/eyeshadow126.png,39.9,ILS,,,,,101400126,,FALSE,80
45,HIGH PERFORMANCE COMPACT FOUNDATION REFILL - Beige 03,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-refill-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/SITE_HIGH-PERFORMANCE-COMPACT-FOUNDATION_03.jpg,79.9,ILS,,,,,113900003,,FALSE,81
46,HIGH PERFORMANCE COMPACT FOUNDATION REFILL - Fair 02,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-refill-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/SITE_HIGH-PERFORMANCE-COMPACT-FOUNDATION_02.jpg,79.9,ILS,,,,,113900002,,FALSE,81
47,HIGH PERFORMANCE COMPACT FOUNDATION REFILL - Almond 04,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-refill-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/SITE_HIGH-PERFORMANCE-COMPACT-FOUNDATION_04.jpg,79.9,ILS,,,,,113900004,,FALSE,81
44,HIGH PERFORMANCE COMPACT FOUNDATION REFILL - Natural 01,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-refill-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/SITE_HIGH-PERFORMANCE-COMPACT-FOUNDATION_01.jpg,79.9,ILS,,,,,113900001,,FALSE,81
48,HIGH PERFORMANCE COMPACT FOUNDATION - Natural 01,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/high-performance-compact-foundation-01.png,99.9,ILS,,,,,113800001,,FALSE,82
49,HIGH PERFORMANCE COMPACT FOUNDATION - Fiar 02,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/high-performance-compact-foundation-02.png,99.9,ILS,,,,,113800002,,FALSE,82
50,HIGH PERFORMANCE COMPACT FOUNDATION - Beige 03,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/high-performance-compact-foundation-03.png,99.9,ILS,,,,,113800003,,FALSE,82
51,HIGH PERFORMANCE COMPACT FOUNDATION - Almond 04,http://www.gadecosmetics.co.il/makeup/face/foundations/high-performance-compact-foundation-spf-27,https://www.gadecosmetics.co.il/sites/gade-he/files/high-performance-compact-foundation-04.png,99.9,ILS,,,,,113800004,,FALSE,82
55,IDYLLIC EXTREME COVER COMPACT FOUNDATION - Sunny Beige 13,http://www.gadecosmetics.co.il/node/,https://www.gadecosmetics.co.il/sites/gade-he/files/extreme-cover-compact-foundation-30-13.jpg,189.9,ILS,,,,,115100013,,FALSE,83
63,MATTE PERFECT - Rosy Beige 101,http://www.gadecosmetics.co.il/makeup/face/foundations/matte-perfect-foundation-spf-18,https://www.gadecosmetics.co.il/sites/gade-he/files/matte-perfect-foundation%20site_4.jpg,99.9,ILS,,,,,113700101,,FALSE,86
64,MATTE PERFECT - Light Beige 102,http://www.gadecosmetics.co.il/makeup/face/foundations/matte-perfect-foundation-spf-18,https://www.gadecosmetics.co.il/sites/gade-he/files/black_0.jpg,99.9,ILS,,,,,113700102,,FALSE,86
65,MATTE PERFECT - Medium Beige 103,http://www.gadecosmetics.co.il/makeup/face/foundations/matte-perfect-foundation-spf-18,https://www.gadecosmetics.co.il/sites/gade-he/files/black_1.jpg,99.9,ILS,,,,,113700103,,FALSE,86
66,MATTE PERFECT - Intense Berige 104,http://www.gadecosmetics.co.il/makeup/face/foundations/matte-perfect-foundation-spf-18,https://www.gadecosmetics.co.il/sites/gade-he/files/black_2.jpg,99.9,ILS,,,,,113700104,,FALSE,86
709,RICH & MOIST RADIANT HIGHLIGHTER - HONEY BEIGE 13,http://www.gadecosmetics.co.il/makeup/face/concealers/rich-moist-radiant-highlighter,https://www.gadecosmetics.co.il/sites/gade-he/files/13_1.jpg,69.9,ILS,,,,,119300013,,FALSE,87
67,RICH & MOIST RADIANT HIGHLIGHTER - Classic Beige 11,http://www.gadecosmetics.co.il/makeup/face/concealers/rich-moist-radiant-highlighter,https://www.gadecosmetics.co.il/sites/gade-he/files/11_3.jpg,69.9,ILS,,,,,119300011,,FALSE,87
68,RICH & MOIST RADIANT HIGHLIGHTER - Deep Beige 12,http://www.gadecosmetics.co.il/makeup/face/concealers/rich-moist-radiant-highlighter,https://www.gadecosmetics.co.il/sites/gade-he/files/12_1.jpg,69.9,ILS,,,,,119300012,,FALSE,87
70,RICH & MOIST CONCEALER STICK - RICH & MOIST Concealer Stick,http://www.gadecosmetics.co.il/makeup/face/concealers/rich-moist-concealer-stick,https://www.gadecosmetics.co.il/sites/gade-he/files/rich-moist-concealer-stick-04_0.png,69.9,ILS,,,,,108000001,,FALSE,89
71,RICH & MOIST CONCEALER STICK - Medium 03,http://www.gadecosmetics.co.il/makeup/face/concealers/rich-moist-concealer-stick,https://www.gadecosmetics.co.il/sites/gade-he/files/rich-moist-concealer-stick-04_1.png,69.9,ILS,,,,,108000003,,FALSE,89
72,RICH & MOIST CONCEALER STICK - Light Beige 02,http://www.gadecosmetics.co.il/makeup/face/concealers/rich-moist-concealer-stick,https://www.gadecosmetics.co.il/sites/gade-he/files/rich-moist-concealer-stick-04_2.png,69.9,ILS,,,,,108000002,,FALSE,89
73,RICH & MOIST CONCEALER STICK - Warm 04,http://www.gadecosmetics.co.il/makeup/face/concealers/rich-moist-concealer-stick,https://www.gadecosmetics.co.il/sites/gade-he/files/rich-moist-concealer-stick-04.png,69.9,ILS,,,,,108000004,,FALSE,89
79,RICH & MOIST PRESSED POWDER - Natural 10,http://www.gadecosmetics.co.il/makeup/face/face-powders/rich-moist-pressed-powder,https://www.gadecosmetics.co.il/sites/gade-he/files/10_1_0.jpg,74.9,ILS,,,,,100600010,,FALSE,91
